Course,Average Rank
ACC 6600 Business Law for Accountants,1.0
ACC 6560 Financial Theory & Research I,1.0
ACC 6060 Professionalism and Leadership,1.0
ACC 6410 Tax Research & Procedure,1.0
ACC 6610 Finance Statement Research,1.0
ACC 679R Special Topics,1.0
ACC 6420 Corporate Tax,1.0
ACC 6600 Business Law for Accountants (if taken as an elective),1.0
ACC 6150 Info Sys Audit,1.0
ACC 6250 Financial Reporting and Analysis,1.0
ACC 6140 Fraud Exam & Forensic Acc,1.0
ACC 6150 Info Sys Audit,1.0
ACC 6410 Tax Research & Procedure,1.0
ACC 6030 Financial Accounting Reporting,1.1666666666666667
ACC 6440 Partnership Tax,1.25
ACC 6250 Financial Reporting and Analysis,1.3
ACC 6030 Financial Accounting Reporting,1.3333333333333333
ACC 6440 Partnership Tax,1.3333333333333333
ACC 6250 Financial Reporting and Analysis,1.3333333333333333
ACC 6610 Finance Statement Research,1.3333333333333333
ACC 6350 Mgmt Control Sys (if taken as an elective),1.4
ACC 6350 Managment Control Systems,1.4285714285714286
ACC 6540 Professional Ethics,1.4482758620689655
ACC 6400 Advanced Tax Business Entities,1.4545454545454546
ACC 6600 Business Law for Accountants,1.4736842105263157
ACC 6150 Info Sys Audit,1.4761904761904763
ACC 6350 Managment Control Systems,1.5
ACC 6350 Mgmt Control Sys (if taken as an elective),1.5
ACC 6600 Business Law for Accountants (if taken as an elective),1.5
ACC 6560 Financial Theory & Research I,1.5
ACC 6510 Financial Audit,1.5294117647058822
ACC 6410 Tax Research & Procedure,1.5555555555555556
ACC 6140 Fraud Exam & Forensic Acc,1.5714285714285714
ACC 6560 Financial Theory & Research I,1.6111111111111112
ACC 6440 Partnership Tax,1.625
ACC 6350 Mgmt Control Sys (if taken as an elective),1.6666666666666667
ACC 6060 Professionalism and Leadership,1.6666666666666667
ACC 6510 Financial Audit,1.6818181818181819
ACC 6350 Managment Control Systems,1.6923076923076923
ACC 6300 Data Analytics,1.7391304347826086
ACC 6400 Advanced Tax Business Entities,1.75
ACC 6420 Corporate Tax,1.8333333333333333
ACC 6420 Corporate Tax,1.8333333333333333
ACC 6540 Professional Ethics,1.9230769230769231
ACC 6030 Financial Accounting Reporting,1.9333333333333333
ACC 6060 Professionalism and Leadership,2.0
ACC 6140 Fraud Exam & Forensic Acc,2.0
ACC 6610 Finance Statement Research,2.0
ACC 6400 Advanced Tax Business Entities,2.03125
ACC 6510 Financial Audit,2.076923076923077
ACC 6300 Data Analytics,2.076923076923077
ACC 6300 Data Analytics,2.1052631578947367
ACC 6600 Business Law for Accountants (if taken as an elective),2.111111111111111
ACC 6060 Professionalism and Leadership,2.1794871794871793
ACC 6600 Business Law for Accountants,2.5384615384615383
ACC 6350 Managment Control Systems,2.5833333333333335
ACC 6540 Professional Ethics,2.6
ACC 6510 Financial Audit,2.6666666666666665
ACC 6560 Financial Theory & Research I,2.7916666666666665
ACC 6600 Business Law for Accountants,3.5
ACC 6540 Professional Ethics,3.5
ACC 6610 Finance Statement Research,3.6285714285714286
ACC 6420 Corporate Tax,3.6666666666666665
ACC 679R Special Topics,3.7777777777777777
ACC 6250 Financial Reporting and Analysis,3.8947368421052633
ACC 6600 Business Law for Accountants (if taken as an elective),4.046511627906977
ACC 6350 Mgmt Control Sys (if taken as an elective),4.051282051282051
ACC 6440 Partnership Tax,4.15
ACC 6410 Tax Research & Procedure,4.428571428571429
ACC 6150 Info Sys Audit,4.96875
ACC 6030 Financial Accounting Reporting,5.2
ACC 6140 Fraud Exam & Forensic Acc,6.055555555555555
